energy0,correlation0,homogeneity0,contrast0,energy45,correlation45,homogeneity45,contrast45,energy90,correlation90,homogeneity90,contrast90,energy135,correlation135,homogeneity135,contrast135,asym,border,color,diameter,label
0.44002695799999997,0.9873132459999999,0.876831123,58.91959917,0.43752638200000005,0.9809373990000001,0.8292859859999999,88.50488727,0.439022665,0.9847817740000001,0.862218004,70.6687944,0.437373399,0.979830091,0.830626009,93.64595684,7.78e-06,16366.94274,0.021011738,565.364132,mls
0.32852285800000003,0.961991354,0.766172197,87.76024096,0.326386709,0.962305262,0.726479233,86.90168884,0.331536597,0.976303556,0.811280566,54.77062999,0.325154732,0.950489823,0.72304637,114.1410767,1.62e-05,4572.983745,0.083267791,294.0959631,mls
0.328545336,0.973316016,0.8159810679999999,88.99174078,0.323067969,0.955650773,0.738846874,147.45042980000002,0.32784166,0.970674035,0.803090649,97.7606557,0.32480917800000003,0.96819403,0.77129611,105.74714070000002,1.12e-05,3259.533423,0.119282075,264.98177519999996,mls
0.2562777,0.981375441,0.8581173790000001,64.2159945,0.251838347,0.972169697,0.80000814,95.62726556,0.255848795,0.9807936159999999,0.856092011,66.18371529999999,0.252077251,0.973593409,0.805094229,90.73527005,5.38e-06,11659.430540000001,0.060256632000000004,502.66347379999996,mls
0.29945392,0.9763654,0.8029041179999999,73.57177475,0.295586206,0.965048114,0.742211845,108.5305379,0.299521322,0.974357763,0.80950452,79.78868957,0.296180657,0.967294422,0.7521065029999999,101.5554325,7.61e-06,8230.659198000001,0.09635298199999999,408.7038565,mls
0.307983595,0.979919256,0.8304196009999999,83.28117708,0.30289564,0.962489727,0.7335981779999999,155.20528180000002,0.30603168199999997,0.972853726,0.7813744909999999,112.5132178,0.303906314,0.9702977629999999,0.760442125,122.89817120000001,8.39e-06,8510.523337,0.069114677,412.4221997,mls
0.412759053,0.983404333,0.849811942,84.2313058,0.41050749700000005,0.977252751,0.8104134890000001,115.40418149999999,0.412691508,0.982574469,0.8457667659999999,88.44580532,0.410049903,0.974556098,0.789382472,129.0851751,1.63e-05,8442.649705,0.068594628,433.1139058,mls
0.336617162,0.9894873259999999,0.852096382,46.69484916,0.334085686,0.9826125109999999,0.787654968,77.16156094,0.33569016700000004,0.986197584,0.8294463409999999,61.29219961,0.334372777,0.9839716629999999,0.8006880129999999,71.12996527,3.05e-06,28061.072589999996,0.037045769,729.8380528,mls
0.377051242,0.9795696620000001,0.8698185429999999,51.14657425,0.373179286,0.9691791759999999,0.8081804140000001,77.06897538,0.375960601,0.975812276,0.848793945,60.5409292,0.37362431700000004,0.971060625,0.831932973,72.36431906,8.19e-06,6518.674956,0.101738522,369.8950141,mls
0.37565968200000005,0.9794893920000001,0.869638183,51.29553223,0.371763031,0.969007263,0.807761057,77.41922807,0.374563456,0.9757586690000001,0.848432812,60.61454662,0.37223144799999996,0.970990171,0.832095189,72.46596491,8.2e-06,6525.243614999999,0.10128016699999999,369.9070615,mls
0.35911203799999997,0.9890165809999999,0.869247678,39.93890676,0.35633754799999995,0.9833910690000001,0.8223399029999999,60.326549699999994,0.358144169,0.984707562,0.858075244,55.58557663,0.35587804,0.97965515,0.811509542,73.89606487,5.58e-06,21086.60804,0.037357713,661.5545695000001,mls
0.290070276,0.987830551,0.87411354,59.73308097,0.286571876,0.983310562,0.832342386,81.73977165,0.290178852,0.988076512,0.878275538,58.52051994,0.286399603,0.9829052420000001,0.830746505,83.72490733,4.71e-06,19533.88241,0.052571285999999995,633.9683649,mls
0.298514858,0.977916815,0.879023853,85.74307804,0.292707816,0.965600343,0.8139691729999999,133.0190149,0.297424948,0.974754542,0.8646426420000001,97.97307959999999,0.294410225,0.970932097,0.844404356,112.4018119,1.13e-05,3432.969292,0.12325383699999999,294.79216180000003,mls
